バス会社ID,バス会社名称
1097,猪名川町
1098,多可町
1099,神姫ゾーンバス（株）
1100,養父市
1101,宍粟市
1102,西脇市
1103,みなと観光バス（株）（南あわじ市）
1104,加西市
1105,高砂市
1106,姫路市
1107,みなと観光バス（株）
1108,加古川市
1109,市川町
1110,神戸フェリーバス（株）
1111,佐用町
1112,神戸交通振興（株）
1113,神鉄バス（株）
1114,淡路タクシー（株）
1115,淡路市
1116,神河町
1117,東灘区
1118,六甲摩耶鉄道（株）
1119,和歌山バス（株）
1120,明光バス（株）
1121,和歌山バス那賀（株）
1122,龍神自動車（株）
1123,熊野交通（株）
1124,紀の川市
1125,有田鉄道（株）
1126,有田川町
1127,南海りんかんバス（株）
1128,御坊南海バス（株）
1129,紀美野町
1130,大十バス（株）
1131,みなべ町
1132,橋本市
1133,古座川町
1134,日高川町
1135,かつらぎ町
1136,串本町
1137,上富田町
1138,海南市
1139,中紀バス（株）
1140,岩出市
1141,すさみ交通（有）
1142,高野町
1143,太地町
1144,両備ホールディングス（株）
1145,下津井電鉄（株）
1146,高梁市
1147,真庭市
1148,（株）井笠バスカンパニー
1149,中鉄バス（株）
1150,岡山電気軌道（株）
1151,新見市
1152,美作市
1153,岡山市
1154,備北バス（株）
1155,宇野自動車（株）
1156,備前市
1157,中鉄北部バス（株）
1158,美咲町
1159,総社市
1160,鏡野町
1161,井原市
1162,赤磐市
1163,津山市
1164,東備バス（株）
1165,玉野市
1166,倉敷市
1167,北振バス（株）
1168,吉備中央町
1169,奈義町
1170,加茂観光バス（株）
1171,和気町
1172,三村タクシー
1173,（株）美袋交通
1174,吉井観光バス（株）
1175,日本交通（株）
1176,日ノ丸自動車（株）
1177,日本交通（株）（大阪）
1178,鳥取市
1179,米子市
1180,日南町
1181,伯耆町
1182,大山町
1183,境港市
1184,岩美町
1185,江府町
1186,琴浦町
1187,三朝町
1188,日野町
1189,智頭町
1190,八頭町
1191,若桜町
1192,北栄町
1193,日ノ丸ハイヤー（株）
1194,新温泉町
1195,日本中央競馬会
1196,北園団日本交通（株）
1197,北谷日ノ丸自動車（株）線
1198,石見交通（株）
1199,一畑バス（株）
1200,松江市
1201,邑南町
1202,安来市
1203,雲南市
1204,出雲市
1205,美郷町
1206,浜田市
1207,奥出雲交通（株）
1208,吉賀町
1209,岐一畑交通（株）
1210,川本町
1211,益田市
1212,江津市
1213,東出雲村
1214,出雲一畑交通（株）
1215,（有）スサノオ観光
1216,海士町
1217,（株）イワミツアー
1218,隠岐の島町
1219,西ノ島町
1220,大田市
1221,知夫村
1222,（有）柿木産業
1223,松江一畑交通（株）
1224,（株）中国バス
1225,中国JRバス（株）
1226,広島電鉄（株）
1227,広交観光（株）
1228,芸陽バス（株）
1229,備北交通（株）
1230,庄原市
1231,広島交通（株）
1232,鞆鉄道（株）
1233,三次市
1234,本四バス開発（株）
1235,（株）瀬戸内しまなみリーディングス
1236,おのみちバス（株）
1237,因の島運輸（株）
1238,広島バス（株）
1239,江田島バス（株）
1240,北広島市
1241,安芸太田町
1242,第一タクシー（株）
1243,東広島市
1244,廿日市市
1245,さんようバス（株）
1246,大崎上島町
1247,安芸高田市
1248,エイチ・ディー西広島（株）
1249,大竹市
1250,瀬戸内産交（株）
1251,江田島市
1252,坂町
1253,安全タクシー（株）
1254,福山市
1255,アシナトランジット（株）
1256,海田町
1257,（有）エンゼルキャブ
