市区町村名,緯度,経度,区内バス停ID,バス会社名称,バス停名称
江戸川区,35.647415,139.879757,122,都営バス,なぎさニュータウン
江戸川区,35.647015,139.879375,123,都営バス,なぎさニュータウン
江戸川区,35.646188,139.879608,124,都営バス,なぎさニュータウン
江戸川区,35.646968,139.879705,125,都営バス,なぎさニュータウン
葛飾区,35.772817,139.862953,126,京成バス（株）,にいじゅくみらい公園
葛飾区,35.770262,139.862558,127,京成バス（株）,にいじゅくみらい公園南
渋谷区,35.672531,139.710721,128,渋谷区,はぁとぴあ原宿入口
世田谷区,35.599048,139.654599,129,東急バス（株）,はちまん橋
渋谷区,35.664144,139.685095,130,渋谷区,はつらつセンター富ヶ谷
葛飾区,35.78189,139.869835,131,京成バス（株）,はなしょうぶ園
荒川区,35.738355,139.809051,132,都営バス,はなみずき通り中央
練馬区,35.753208,139.656614,133,練馬区,はやいち公園
足立区,35.805063,139.780164,134,東武バス,はんの木橋
足立区,35.805075,139.779867,135,東武バス,はんの木橋
世田谷区,35.632872,139.625995,136,東急バス（株）,ひまわり荘
練馬区,35.755469,139.596027,137,西武バス（株）,びくに公園入口
足立区,35.761797,139.821246,138,葛飾区,ふくろう堂
葛飾区,35.783067,139.860332,139,京成バス（株）,ふれあいの家
世田谷区,35.648514,139.608287,140,小田急バス（株）,ふれあい遊歩道
中央区,35.651129,139.775141,141,都営バス,ほっとプラザはるみ前
中央区,35.650785,139.775558,142,都営バス,ほっとプラザはるみ前
千代田区,35.696201,139.752947,143,都営バス,まないた橋
中野区,35.718243,139.645068,144,関東バス（株）,みつわ通り
墨田区,35.692868,139.803023,145,京成バス（株）,みどりコミュニティセンター
品川区,35.595381,139.764652,146,都営バス,みなとが丘ふ頭公園前
中野区,35.682615,139.66183,147,京王バス,みなとっぷ21
港区,35.6469,139.751447,148,港区,みなとパーク芝浦
足立区,35.760514,139.75363,149,足立区,みやぎ水再生センター前
足立区,35.759876,139.753023,150,都営バス,みやぎ水再生センター前
目黒区,35.621832,139.673742,151,東急バス（株）,めぐろ区民キャンパス
目黒区,35.622973,139.673433,152,東急バス（株）,めぐろ区民キャンパス
目黒区,35.622262,139.672729,153,東急バス（株）,めぐろ区民キャンパス
練馬区,35.767092,139.601834,154,西武バス（株）,もみじ山
中野区,35.709099,139.67357,155,関東バス（株）,もみじ山通り
足立区,35.741229,139.801186,156,足立区,やっちゃば緑道
世田谷区,35.622236,139.621246,157,東急バス（株）,やのはし
荒川区,35.739542,139.784269,158,京成バス（株）,ゆいの森あらかわ
足立区,35.767316,139.774593,159,日立自動車交通,ゆうあいの郷・扇
葛飾区,35.736099,139.834953,160,都営バス,よつぎ小学校前
品川区,35.62002,139.750915,161,都営バス,りんかい線天王洲アイル駅前
文京区,35.719889,139.725754,162,文京区,アカデミー音羽
港区,35.628106,139.773291,163,高速バス,アクアシティお台場
港区,35.628106,139.773291,164,高速バス,アクアシティお台場〔水陸両用バス〕
足立区,35.755981,139.758914,165,足立区,アクアステージ入口
荒川区,35.740608,139.79038,166,京成バス（株）,アクロシティ
荒川区,35.740639,139.783325,167,京成バス（株）,アクロスあらかわ
港区,35.667044,139.749431,168,京成バス（株）,アンダーズ東京
千代田区,35.703992,139.771665,169,千代田区,アーツ千代田3331
葛飾区,35.743967,139.835155,170,葛飾区,ウエルピアかつしか
港区,35.655679,139.76272,171,JRバス関東（株）,ウォーターズ竹芝
世田谷区,35.668064,139.608634,172,小田急バス（株）,ウテナ前
足立区,35.771108,139.797576,173,都営バス,エル・ソフィア前
世田谷区,35.617994,139.660041,174,東急バス（株）,エーダンモール深沢
渋谷区,35.682256,139.684992,175,渋谷区,オペラ通り
大田区,35.57089,139.681389,176,東急バス（株）,オリンピック下丸子店前
大田区,35.564491,139.684096,177,東急バス（株）,ガス橋二十一世紀桜
江東区,35.646469,139.80458,178,都営バス,キャナルコート2街区前
江東区,35.646654,139.803002,179,都営バス,キャナルコート3街区前
江東区,35.647859,139.804396,180,都営バス,キャナルコート4街区前
大田区,35.567563,139.683569,181,東急バス（株）,キヤノン本社通用門前
足立区,35.779927,139.791373,182,東武バス,ギャラクシティ
足立区,35.779745,139.790063,183,東武バス,ギャラクシティ
文京区,35.71461,139.751906,184,文京区,クイーンズ伊勢丹小石川店前
港区,35.625127,139.771319,185,関東バス（株）,グランドニッコー東京 台場
港区,35.625351,139.771391,186,高速バス,グランドニッコー東京 台場
港区,35.630038,139.732314,187,都営バス,グランドプリンスホテル新高輪前
港区,35.630341,139.732473,188,都営バス,グランドプリンスホテル新高輪前
新宿区,35.71143,139.720847,189,都営バス,グランド坂下
荒川区,35.73874,139.791214,190,京成バス（株）,グリーンハイム荒川
渋谷区,35.675499,139.681564,191,渋谷区,ケアコミュニティ・せせらぎ
荒川区,35.735035,139.797251,192,京成バス（株）,コツ通り
江戸川区,35.643418,139.872257,193,都営バス,コーシャハイム南葛西
江戸川区,35.643306,139.872626,194,都営バス,コーシャハイム南葛西〔始発〕
世田谷区,35.647615,139.596649,195,小田急バス（株）,ゴルフ練習場前
世田谷区,35.647811,139.596735,196,小田急バス（株）,ゴルフ練習場前
文京区,35.705916,139.767649,197,文京区,サミットストア湯島天神南店
目黒区,35.620042,139.686977,198,東急バス（株）,サレジオ教会
豊島区,35.72974,139.717079,199,国際興業（株）,サンシャインシティ
豊島区,35.728873,139.716726,200,国際興業（株）,サンシャインシティ
豊島区,35.729951,139.719459,201,高速バス,サンシャインシティプリンスホテル
豊島区,35.729906,139.719555,202,高速バス,サンシャインシティプリンスホテル
豊島区,35.730101,139.719703,203,豊島区,サンシャインシティプリンスホテル〔IKEBUS〕
豊島区,35.729816,139.71953,204,豊島区,サンシャインシティプリンスホテル〔IKEBUS〕
豊島区,35.727677,139.720044,205,国際興業（株）,サンシャインシティ南
豊島区,35.729561,139.717235,206,豊島区,サンシャインシティ西
豊島区,35.730112,139.718056,207,豊島区,サンシャインシティ西
港区,35.654954,139.747206,208,,ザ・プリンス パークタワー東京
千代田区,35.679897,139.738114,209,高速バス,ザ・プリンスギャラリー 東京紀尾井町
港区,35.639728,139.730166,210,,シェラトン都ホテル東京
中央区,35.669043,139.785249,211,中央区,シニアセンター
江東区,35.628617,139.832516,212,都営バス,シャシー整理場前
墨田区,35.729396,139.815476,213,京成バス（株）,シルバープラザ梅若
江東区,35.620527,139.776997,214,都営バス,シンボルプロムナード公園前
千代田区,35.685851,139.741756,215,千代田区,ジロール麹町入口[半蔵門駅]
千代田区,35.689385,139.767462,216,千代田区,スポーツセンター
江戸川区,35.667946,139.860562,217,都営バス,スポーツセンター前
江戸川区,35.66734,139.860167,218,都営バス,スポーツセンター前
江戸川区,35.70064,139.912758,219,京成バス（株）,スポーツランド入口
江戸川区,35.700817,139.912858,220,京成バス（株）,スポーツランド入口
墨田区,35.726792,139.813087,221,京成バス（株）,セイコーミュージアム前・法泉寺入口
大田区,35.591054,139.768989,222,都営バス,セントラルビル前
品川区,35.608563,139.73764,223,東急バス（株）,ゼームス坂上
葛飾区,35.736004,139.855627,224,京成バス（株）,タウンバス車庫
葛飾区,35.736013,139.855621,225,都営バス,タウンバス車庫
新宿区,35.705291,139.700189,226,関東バス（株）,タワーホームズ前
大田区,35.585266,139.766124,227,都営バス,ダイトー大井物流センター前
江戸川区,35.695481,139.851775,228,都営バス,チェリーガーデン前
葛飾区,35.752163,139.851993,229,京成バス（株）,テクノプラザかつしか
江東区,35.617458,139.778871,230,都営バス,テレコムセンター駅前
江東区,35.617414,139.77954,231,京成バス（株）,テレコムセンター駅前
文京区,35.70974,139.74336,232,文京区,トッパンホール・印刷博物館
北区,35.764865,139.747443,233,都営バス,トンボ鉛筆前
荒川区,35.73505,139.802508,234,京成バス（株）,ドナウ通り
荒川区,35.734972,139.801649,235,都営バス,ドナウ通り
大田区,35.591535,139.76995,236,都営バス,ニチレイ前
新宿区,35.6913,139.691366,237,高速バス,ハイアット リージェンシー 東京
新宿区,35.691303,139.691758,238,京王バス,ハイアットリージェンシー東京前
足立区,35.771218,139.74436,239,都営バス,ハートアイランド入口
足立区,35.771384,139.744587,240,国際興業（株）,ハートアイランド入口
足立区,35.771417,139.746273,241,国際興業（株）,ハートアイランド北
足立区,35.770969,139.746629,242,都営バス,ハートアイランド北
足立区,35.770982,139.746602,243,都営バス,ハートアイランド北
足立区,35.768753,139.749331,244,国際興業（株）,ハートアイランド南
足立区,35.768767,139.749311,245,都営バス,ハートアイランド南
足立区,35.768678,139.749456,246,都営バス,ハートアイランド南
足立区,35.770207,139.74837,247,国際興業（株）,ハートアイランド東
足立区,35.770654,139.747468,248,都営バス,ハートアイランド東
足立区,35.77005,139.748687,249,都営バス,ハートアイランド東
足立区,35.769395,139.747468,250,都営バス,ハートアイランド西
足立区,35.769397,139.747673,251,国際興業（株）,ハートアイランド西
千代田区,35.678861,139.768594,252,京王バス,バスターミナル東京八重洲
