市区町村名,緯度,経度,区内バス停ID,バス会社名称,バス停名称,バス停数
世田谷区,35.669599,139.600192,1668,小田急バス（株）,千歳烏山駅北口〔降車場〕,None
世田谷区,35.667032,139.601943,1669,小田急バス（株）,千歳烏山駅南口,1
世田谷区,35.646337,139.622114,1670,東急バス（株）,千歳船橋,1
世田谷区,35.647345,139.621507,1673,京王バス,千歳船橋駅,1
江東区,35.680417,139.815915,1676,都営バス,千田,None
豊島区,35.72089,139.712746,1677,都営バス,千登世橋,2
江東区,35.678679,139.811761,1680,都営バス,千石一丁目,2
文京区,35.723869,139.737034,1683,都営バス,千石三丁目,4
江東区,35.678497,139.815865,1685,都営バス,千石二丁目,2
文京区,35.7282,139.744838,1687,文京区,千石駅,None
渋谷区,35.67509,139.710229,1688,都営バス,千駄ヶ谷二丁目,2
渋谷区,35.686627,139.703092,1691,都営バス,千駄ヶ谷五丁目,2
渋谷区,35.678591,139.711071,1693,都営バス,千駄ヶ谷八幡前,2
渋谷区,35.675215,139.706841,1695,都営バス,千駄ヶ谷小学校前,2
渋谷区,35.677995,139.71025,1697,渋谷区,千駄ヶ谷社会教育館,2
渋谷区,35.680694,139.711187,1698,渋谷区,千駄ヶ谷駅〔東京体育館〕,None
渋谷区,35.680247,139.711207,1699,都営バス,千駄ヶ谷駅前,2
文京区,35.724983,139.759597,1701,都営バス,千駄木一丁目,2
文京区,35.727639,139.763539,1702,都営バス,千駄木三丁目,2
文京区,35.722233,139.762402,1704,都営バス,千駄木二丁目,2
文京区,35.727481,139.75636,1706,都営バス,千駄木五丁目,2
文京区,35.729126,139.759705,1707,文京区,千駄木小学校,None
文京区,35.725287,139.763249,1708,台東区,千駄木駅［団子坂下］,None
大田区,35.571124,139.696473,1710,東急バス（株）,千鳥二丁目,2
葛飾区,35.776172,139.877639,1712,京成タウンバス,半田小学校入口,None
葛飾区,35.773652,139.877256,1713,東武バス,半田稲荷前,2
千代田区,35.684182,139.743183,1714,都営バス,半蔵門,2
大田区,35.54523,139.718003,1715,京成バス（株）,南六郷三丁目,2
渋谷区,35.676426,139.687626,1716,京王バス,南初台,2
文京区,35.735004,139.746756,1718,文京区,南北線駒込駅,None
荒川区,35.732425,139.807475,1719,京成バス（株）,南千住三丁目,2
荒川区,35.733959,139.797139,1721,京成バス（株）,南千住五丁目,2
荒川区,35.736375,139.807867,1722,都営バス,南千住八丁目,2
荒川区,35.735174,139.795319,1723,都営バス,南千住六丁目,2
荒川区,35.735708,139.804288,1724,都営バス,南千住四丁目,2
荒川区,35.737079,139.794237,1725,京成バス（株）,南千住図書館,2
荒川区,35.73784,139.805869,1726,都営バス,南千住汐入,2
荒川区,35.731455,139.804139,1727,京成バス（株）,南千住清掃車車庫前,2
荒川区,35.730853,139.798437,1729,都営バス,南千住車庫前,1
荒川区,35.736974,139.791844,1731,京成バス（株）,南千住野球場,2
荒川区,35.733631,139.800073,1732,京成バス（株）,南千住駅東口,1
荒川区,35.733065,139.798469,1736,京成バス（株）,南千住駅西口,1
江東区,35.632531,139.824858,1739,都営バス,南千石橋,1
江東区,35.635765,139.823323,1740,都営バス,南千石橋北詰,1
中野区,35.683242,139.669481,1741,京王バス,南台３丁目,None
中野区,35.686468,139.674344,1743,京王バス,南台一丁目,None
中野区,35.686087,139.668212,1744,京王バス,南台交差点,4
中野区,35.685694,139.665956,1747,京王バス,南台図書館,2
品川区,35.607465,139.742877,1748,京成バス（株）,南品川三丁目,2
品川区,35.614622,139.743802,1749,都営バス,南品川二丁目,1
品川区,35.612078,139.741976,1750,都営バス,南品川五丁目,2
品川区,35.59575,139.736751,1752,京成バス（株）,南大井文化センター,2
豊島区,35.725709,139.735423,1753,都営バス,南大塚一丁目,2
練馬区,35.749267,139.57454,1754,練馬区,南大泉,2
練馬区,35.738851,139.575361,1756,練馬区,南大泉一丁目,2
練馬区,35.735235,139.574045,1757,練馬区,南大泉一丁目南,2
練馬区,35.734484,139.571586,1758,練馬区,南大泉二丁目,2
江戸川区,35.725413,139.888873,1759,京成バス（株）,南小岩三丁目,2
江戸川区,35.720861,139.890546,1760,京成バス（株）,南小岩二丁目,2
江戸川区,35.734477,139.885314,1761,京成バス（株）,南小岩八丁目,2
板橋区,35.756547,139.689976,1762,都営バス,南常盤台,2
渋谷区,35.655108,139.696443,1764,東急バス・東急トランセ,南平台町,1
大田区,35.538429,139.795159,1765,京成バス（株）,南新整備場,1
北区,35.757714,139.730204,1766,国際興業（株）,南橋,1
葛飾区,35.780241,139.859242,1767,東武バス,南水元,2
世田谷区,35.666309,139.599485,1768,京王バス,南水無,2
豊島区,35.723693,139.711737,1770,都営バス,南池袋一丁目,2
豊島区,35.72733,139.712329,1773,都営バス,南池袋三丁目,2
豊島区,35.72794,139.715626,1777,豊島区,南池袋公園,1
大田区,35.574275,139.74973,1778,京成バス（株）,南海橋南,1
世田谷区,35.665864,139.603132,1779,小田急バス（株）,南烏山,1
練馬区,35.731887,139.621842,1780,関東バス（株）,南田中,2
練馬区,35.741091,139.609356,1782,練馬区,南田中アパート,2
