市区町村名,緯度,緯度,経度,経度,区内バス停ID,会社名称,路線名称,どこからどこまで,行き方面,帰り方面,バス停名称,url,同じバス停
error,None,None,None,None,110,西武バス,入市５４：準急,入間市駅～箱根ヶ崎駅,箱根ヶ崎駅方面,入間市駅方面,箱根ヶ崎駅,https://mb.jorudan.co.jp//os/bus/1306/stop/45426.html,
error,None,None,None,None,111,西武バス,入市６２,入間市駅～中村屋武蔵工場,中村屋武蔵工場方面,入間市駅方面,中村屋武蔵工場,https://mb.jorudan.co.jp//os/bus/1306/stop/237822.html,
error,None,None,None,None,112,西武バス,吉６０－４,吉祥寺駅～上石神井駅,吉祥寺駅方面,吉祥寺駅方面,吉祥寺駅,https://mb.jorudan.co.jp//os/bus/1306/stop/45606.html,
error,None,None,None,None,113,西武バス,吉６０－５,吉祥寺駅～立野橋,立野橋方面,吉祥寺駅方面,立野橋,https://mb.jorudan.co.jp//os/bus/1306/stop/46463.html,
error,None,None,None,None,114,西武バス,大泉学園駅～都民農園セコニック,大泉学園駅北口～都民農園セコニック,都民農園セコニック方面,大泉学園駅北口方面,都民農園セコニック,https://mb.jorudan.co.jp//os/bus/1306/stop/46349.html,
error,None,None,None,None,115,西武バス,大３０,大宮駅西口～ソニックシティ前,大宮駅西口方面,大宮駅西口方面,大宮駅西口,https://mb.jorudan.co.jp//os/bus/1306/stop/46549.html,
error,None,None,None,None,116,西武バス,大４１,大宮駅西口～水判土,水判土方面,大宮駅西口方面,水判土,https://mb.jorudan.co.jp//os/bus/1306/stop/46355.html,
error,None,None,None,None,117,西武バス,寺６４,国分寺駅北入口～小平警察署,国分寺駅北入口方面,国分寺駅北入口方面,国分寺駅北入口,https://mb.jorudan.co.jp//os/bus/1306/stop/45548.html,
error,None,None,None,None,118,西武バス,小手０３,箱根ヶ崎駅～小手指駅南口,小手指駅南口方面,箱根ヶ崎駅方面,小手指駅南口,https://mb.jorudan.co.jp//os/bus/1306/stop/46199.html,
error,None,None,None,None,119,西武バス,小手０６－１,小手指駅南口～内手,内手方面,小手指駅南口方面,内手,https://mb.jorudan.co.jp//os/bus/1306/stop/46073.html,
error,None,None,None,None,120,西武バス,小手０９－１,小手指駅南口～宮寺西,宮寺西方面,小手指駅南口方面,宮寺西,https://mb.jorudan.co.jp//os/bus/1306/stop/45033.html,
error,None,None,None,None,121,西武バス,川越１００,川越水上公園～川越水上公園,川越水上公園方面,川越駅西口方面,川越駅西口,https://mb.jorudan.co.jp//os/bus/1306/stop/45521.html,
error,None,None,None,None,122,西武バス,川越１００,川越水上公園～川越水上公園,川越水上公園方面,川越駅西口方面,本川越駅,https://mb.jorudan.co.jp//os/bus/1306/stop/45864.html,
error,None,None,None,None,123,西武バス,川越１００,川越水上公園～川越水上公園,川越水上公園方面,川越駅西口方面,川越水上公園,https://mb.jorudan.co.jp//os/bus/1306/stop/45513.html,
error,None,None,None,None,124,西武バス,所５８－２,中富～上福岡駅西口,上福岡駅西口方面,中富方面,上福岡駅西口,https://mb.jorudan.co.jp//os/bus/1306/stop/45808.html,
error,35.79489194,35.79489194,139.51358194444444西武バス,139.51358194444444西武バス,125,西武バス,所５９,所沢駅東口～エステシティ所沢,エステシティ所沢方面,所沢駅東口方面,東所沢駅,https://mb.jorudan.co.jp//os/bus/1306/stop/46542.html,
error,139.5113994,139.5113994,,,126,所５９,所沢駅東口～エステシティ所沢,エステシティ所沢方面,所沢駅東口方面,サクラタウン東,https://mb.jorudan.co.jp/os/bus/1306/stop/323727.html,35.79778778,
error,None,None,None,None,127,西武バス,新都１１,大宮駅西口～さいたま新都心駅西口,大宮駅西口方面,さいたま新都心駅西口方面,さいたま新都心駅西口,https://mb.jorudan.co.jp//os/bus/1306/stop/45276.html,
error,None,None,None,None,128,西武バス,朝２２－１,野火止坂上～朝霞台駅,朝霞台駅方面,野火止坂上方面,朝霞台駅,https://mb.jorudan.co.jp//os/bus/1306/stop/45017.html,
error,None,None,None,None,129,西武バス,朝３０,朝霞駅東口～新電元工業,新電元工業方面,朝霞駅東口方面,新電元工業,https://mb.jorudan.co.jp//os/bus/1306/stop/304308.html,
error,None,None,None,None,130,西武バス,朝３１,新電元工業～朝霞駅南口,朝霞駅南口方面,新電元工業方面,朝霞駅南口,https://mb.jorudan.co.jp//os/bus/1306/stop/45422.html,
error,None,None,None,None,131,西武バス,東大和３７,東大和市駅～イオンモールむさし村山,イオンモールむさし村山方面,東大和市駅方面,イオンモールむさし村山,https://mb.jorudan.co.jp//os/bus/1306/stop/234962.html,
error,None,None,None,None,132,西武バス,武蔵境駅～南沢五丁目：深夜,武蔵境駅～南沢五丁目,南沢五丁目方面,武蔵境駅方面,南沢五丁目,https://mb.jorudan.co.jp//os/bus/1306/stop/45248.html,
error,None,None,None,None,133,西武バス,武１４：花小金井駅入口経由,久留米西団地～武蔵小金井駅,武蔵小金井駅方面,久留米西団地方面,武蔵小金井駅,https://mb.jorudan.co.jp//os/bus/1306/stop/45055.html,
