バス停ID,バス会社名称,バス停名称,緯度,経度
433,都営バス,目黒駅前,35.634276,139.716448
434,都営バス,品川駅港南口,35.628956,139.74117
435,都営バス,東京海洋大学本部前,35.629058,139.747529
436,都営バス,港南小学校前,35.628363,139.750361
437,都営バス,天王洲運河,35.62615,139.750217
438,都営バス,天王洲アイル,35.623021,139.750866
439,都営バス,りんかい線天王洲アイル駅前,35.62002,139.750915
440,都営バス,八潮南,35.597766,139.751301
441,都営バス,大井消防署八潮出張所前,35.597396,139.752629
442,都営バス,八潮東,35.598827,139.754272
443,都営バス,八潮公園前,35.60166,139.754297
444,都営バス,明晴学園前,35.603597,139.754305
445,都営バス,品川総合福祉センター前,35.605371,139.753379
446,都営バス,品川シーサイド駅前,35.609134,139.749585
447,都営バス,天王洲橋,35.62124,139.745788
448,都営バス,楽水橋[品川車庫入口],35.62473,139.744933
449,都営バス,食肉市場前(東京都),35.62788,139.744691
450,都営バス,品川駅港南口,35.628898,139.741132
451,都営バス,新東海橋,35.621588,139.749268
452,都営バス,天王洲アイル,35.623238,139.749933
453,都営バス,天王洲運河,35.627504,139.749893
454,都営バス,港南小学校前,35.628792,139.749371
455,都営バス,東京海洋大学本部前,35.628785,139.747367
456,都営バス,東品川一丁目,35.620559,139.742795
457,都営バス,品川駅高輪口,35.629838,139.73725
458,都営バス,グランドプリンスホテル新高輪前,35.630341,139.732473
459,都営バス,高輪三丁目,35.633269,139.732616
460,都営バス,高輪警察署前,35.635079,139.733022
461,都営バス,高輪二丁目,35.638769,139.734905
462,都営バス,古川橋(東京都),35.646604,139.734994
463,都営バス,四ノ橋,35.647141,139.731386
464,都営バス,光林寺前,35.646576,139.727335
465,都営バス,天現寺橋,35.647268,139.723473
466,都営バス,広尾駅前[広尾橋],35.650265,139.722254
467,都営バス,日赤医療センター下,35.654378,139.722608
468,都営バス,西麻布,35.658886,139.723502
469,都営バス,墓地下,35.662396,139.723579
470,都営バス,青山斎場,35.666714,139.724275
471,都営バス,青山いきいきプラザ入口,35.669526,139.72359
472,都営バス,青山一丁目駅前,35.673869,139.723326
473,都営バス,北青山一丁目アパート前,35.674957,139.721971
474,都営バス,権田原,35.677731,139.720492
475,都営バス,信濃町駅南口,35.679533,139.719576
476,都営バス,信濃町駅前,35.681515,139.719287
477,都営バス,左門町,35.683936,139.719758
478,都営バス,四谷三丁目(新宿区),35.687673,139.719271
479,都営バス,四谷四丁目(新宿区),35.687509,139.717329
480,都営バス,新宿一丁目(新宿区),35.687979,139.713141
481,都営バス,新宿二丁目(新宿区),35.688571,139.710325
482,都営バス,新宿三丁目,35.690319,139.705854
483,都営バス,新宿追分,35.691142,139.703971
484,都営バス,新宿駅東口,35.692932,139.700299
485,都営バス,新宿駅西口,35.691884,139.698872
486,都営バス,品川駅港南口,35.628535,139.741638
487,都営バス,品川火力発電所前,35.620952,139.753694
488,都営バス,若潮橋,35.616669,139.753536
489,都営バス,八潮二丁目,35.593323,139.769737
490,都営バス,大田市場北,35.584416,139.764206
491,都営バス,大田市場北門西,35.582759,139.760987
492,都営バス,大田市場北門東,35.582759,139.762672
493,都営バス,水産棟前,35.580215,139.764292
494,都営バス,大田市場,35.579266,139.758642
495,都営バス,品川駅港南口,35.629672,139.741362
496,都営バス,御楯橋,35.62982,139.746847
497,都営バス,港南中学校前(東京都),35.631788,139.747688
498,都営バス,港南四丁目,35.631545,139.751094
499,都営バス,港南大橋,35.631256,139.754061
500,都営バス,港南大橋東詰,35.629772,139.756094
501,都営バス,東京出入国在留管理局前,35.627991,139.756165
502,都営バス,埠頭通り,35.624767,139.756278
503,都営バス,品川火力発電所前,35.621549,139.754773
504,都営バス,品川ふ頭橋,35.622412,139.753752
505,都営バス,東品川五丁目,35.623783,139.753992
506,都営バス,港南五丁目,35.626167,139.754164
507,都営バス,京浜運河,35.627922,139.754293
508,都営バス,港南大橋下,35.630269,139.754457
509,都営バス,高輪消防署港南出張所入口,35.632226,139.755306
510,都営バス,品川埠頭,35.631621,139.757634
511,都営バス,品川埠頭岸壁入口,35.629146,139.757739
512,都営バス,東京出入国在留管理局前,35.627939,139.75573
513,都営バス,港南四丁目,35.63122,139.750919
514,都営バス,港南中学校前(東京都),35.631375,139.748451
515,都営バス,東大構内,35.71324,139.764238
516,都営バス,東大病院前,35.711143,139.764023
517,都営バス,竜岡門,35.708154,139.763823
518,都営バス,上野広小路,35.708183,139.771979
519,都営バス,上野松坂屋前,35.707821,139.773891
520,都営バス,高田馬場駅前,35.713317,139.704487
521,都営バス,西早稲田,35.708918,139.717039
522,都営バス,馬場下町,35.706897,139.71871
523,都営バス,早大正門,35.708692,139.721668
524,都営バス,日赤医療センター前(東京都),35.655149,139.717758
525,都営バス,東京女学館前,35.655635,139.7175
526,都営バス,東四丁目(東京都),35.655152,139.713996
527,都営バス,国学院大学前,35.655432,139.711013
528,都営バス,実践女子学園前,35.656747,139.710757
529,都営バス,青山学院初等部前,35.657723,139.710599
530,都営バス,渋谷三丁目,35.658095,139.707496
531,都営バス,渋谷駅前,35.659009,139.702019
532,都営バス,目白駅前〔川村学園〕,35.721131,139.707904
533,都営バス,日本女子大前〔豊明小学校前〕,35.71633,139.719084
534,都営バス,日本女子大前,35.716371,139.720396
535,都営バス,恵比寿駅前,35.64688,139.70947
536,都営バス,渋谷橋,35.649426,139.711483
537,都営バス,広尾高校前,35.653105,139.713371
538,都営バス,東四丁目(東京都),35.654856,139.713558
539,都営バス,新宿駅西口,35.692228,139.698698
540,都営バス,歌舞伎町,35.693635,139.701944
541,都営バス,新宿五丁目,35.692837,139.704993
542,都営バス,日清食品前,35.695654,139.706895
543,都営バス,東新宿駅前,35.697197,139.707166
544,都営バス,大久保通り,35.700751,139.709358
